(B(t,184.526001,182.057999,179.664642,176.264648), D(t,211.198685,211.770416,213.282928,212.189972))
(B(t,176.264648,179.551392,183.335464,186.283661), D(t,212.189972,209.613373,209.502563,207.579071))
(B(t,186.283661,177.197922,168.555649,159.16716), D(t,207.579071,208.932678,212.458359,212.278946))
(B(t,159.16716,166.316162,173.503555,180.455963), D(t,212.278946,209.623169,207.210236,204.039612))
(B(t,180.455963,167.133041,153.927841,140.136688), D(t,204.039612,206.57666,209.73912,210.31221))
(B(t,140.136688,144.713638,149.843002,154.412704), D(t,210.31221,207.422043,205.736237,202.969818))
(B(t,154.412704,159.678177,165.16394,170.579453), D(t,202.969818,199.78215,196.95575,194.019333))
(B(t,170.579453,174.543915,175.923828,175.180084), D(t,194.019333,191.869659,189.106583,184.238266))
(B(t,175.180084,173.80574,173.551315,170.884003), D(t,184.238266,175.24202,166.074768,156.615005))
(B(t,170.884003,161.714935,152.695404,143.675858), D(t,156.615005,159.695816,162.726379,165.756943))
(B(t,143.675858,144.854324,147.195312,149.344589), D(t,165.756943,162.976334,162.31279,161.4375))
(B(t,149.344589,155.047546,160.752335,166.542206), D(t,161.4375,159.115005,156.78363,154.69342))
(B(t,166.542206,169.474396,170.747467,169.992249), D(t,154.69342,153.634888,152.454208,148.911835))
(B(t,169.992249,168.403793,167.462738,166.113953), D(t,148.911835,141.461075,133.872269,125.453865))
(B(t,166.113953,154.043976,141.875031,126.581573), D(t,125.453865,136.149582,145.953003,152.265549))
(B(t,126.581573,126.89167,129.110718,130.51236), D(t,152.265549,149.13678,148.609756,147.567398))
(B(t,130.51236,135.721695,140.981812,146.352615), D(t,147.567398,143.693359,139.878433,136.232452))
(B(t,146.352615,161.132843,169.457458,179.659821), D(t,136.232452,126.198906,110.638672,96.81572))
(B(t,179.659821,194.192154,206.64267,219.580063), D(t,96.81572,77.126198,56.001995,35.230988))
(B(t,219.580063,219.741058,220.092697,221.161331), D(t,35.230988,34.972519,34.832806,34.038795))
(B(t,221.161331,221.806656,218.077942,215.67215), D(t,34.038795,40.451481,44.628109,49.16819))
(B(t,215.67215,213.12114,210.298645,207.278305), D(t,49.16819,53.982307,58.652557,63.939476))
(B(t,207.278305,214.300964,220.448654,226.622025), D(t,63.939476,63.792408,62.531109,61.584534))
(B(t,226.622025,231.714081,236.745895,241.857819), D(t,61.584534,60.803768,59.547077,59.007629))
(B(t,241.857819,245.377823,246.966919,246.805023), D(t,59.007629,58.636181,57.349438,53.735012))
(B(t,246.805023,246.719696,246.863678,248.732941), D(t,53.735012,51.830101,49.787182,48.0331))
(B(t,248.732941,250.492966,249.342163,249.903366), D(t,48.0331,50.742348,53.686882,56.339828))
(B(t,249.903366,250.367966,251.017792,253.358658), D(t,56.339828,58.53614,59.97543,60.560364))
(B(t,253.358658,260.50293,267.844238,275.099182), D(t,60.560364,62.345547,62.584259,63.487061))
(B(t,275.099182,277.335785,278.272522,279.103271), D(t,63.487061,63.765388,62.086941,60.366001))
(B(t,279.103271,280.332123,281.528473,282.906525), D(t,60.366001,57.820374,55.252419,52.78783))
(B(t,282.906525,283.809265,285.305145,287.138367), D(t,52.78783,51.17334,50.423847,51.304096))
(B(t,287.138367,289.083252,289.012299,288.316772), D(t,51.304096,52.237946,53.883812,55.570351))
(B(t,288.316772,287.372009,286.340027,285.261993), D(t,55.570351,57.861156,60.115982,62.576706))
(B(t,285.261993,288.472534,292.018127,295.162079), D(t,62.576706,65.041435,65.526665,63.947021))
(B(t,295.162079,297.993774,299.877777,302.476013), D(t,63.947021,62.524235,62.839638,64.29213))
(B(t,302.476013,305.239319,308.587677,311.772797), D(t,64.29213,65.836906,65.678062,65.600502))
(B(t,311.772797,314.197174,314.664612,315.093719), D(t,65.600502,65.541473,63.833241,61.95158))
(B(t,315.093719,316.070557,315.767578,315.683563), D(t,61.95158,57.667778,53.320919,49.006294))
(B(t,315.683563,315.614777,316.476044,317.305573), D(t,49.006294,45.474434,42.2225,38.594528))
(B(t,317.305573,320.019257,319.191803,319.237396), D(t,38.594528,39.887062,41.907207,43.525658))
(B(t,319.237396,319.669861,316.976074,313.111664), D(t,43.525658,58.879761,73.837204,88.59417))
(B(t,313.111664,312.276642,312.683167,315.208527), D(t,88.59417,91.782776,93.700439,95.929909))
